"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Source"
"Liao Y.; Liu H.; Spasić I.","Liao, Yuxiang (58285135800); Liu, Hantao (55581726800); Spasić, Irena (8645090100)","58285135800; 55581726800; 8645090100","Deep learning approaches to automatic radiology report generation: A systematic review","2023","Informatics in Medicine Unlocked","0","10.1016/j.imu.2023.101273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160016936&doi=10.1016%2fj.imu.2023.101273&partnerID=40&md5=7d98c605bd9c9ffd817c725df5bd46a2","Background: A radiology report communicates the imaging findings to the referring clinicians. The rising number of referrals has created a bottleneck in healthcare. Writing a report takes disproportionally more time than the imaging itself. Therefore, Automatic Radiology Report Generation (ARRG) has a great potential to unclog this bottleneck. Objectives: This study aims to provide a systematic review of Deep Learning (DL) approaches to ARRG. Specifically, it aims to answer the following research questions. What data have been used to train and evaluate DL approaches to ARRG? How are DL approaches to ARRG evaluated? How is DL used to generate the reports from radiology images? Materials and methods: We followed the PRISMA guidelines. We retrieved 1443 records from PubMed and Web of Science on November 3, 2021. Relevant studies were categorized and compared from multiple perspectives. The corresponding findings were reported narratively. Results: A total of 41 studies were included. We identified 14 radiology datasets. In terms of evaluation, we identified four commonly used natural language generation metrics, six clinical efficacy metrics, and other qualitative methods. We compared DL approaches with respect to the underlying neural network architecture, the method of text generation, problem representation, training strategy, interpretability, and intermediate processing. Discussion and conclusion: Data imbalance (normal versus abnormal cases) and the inner complexity of reports pose major difficulties in ARRG. More appropriate evaluation metrics are required as well as datasets on a much larger scale. Leveraging structured representation of radiology reports and pre-trained language models warrant further research. © 2023","Deep learning; Image processing; Natural language generation; Natural language processing; Neural network","controlled study; deep learning; human; image processing; Medline; natural language processing; Preferred Reporting Items for Systematic Reviews and Meta-Analyses; qualitative analysis; radiology; review; systematic review; Web of Science","Review","Scopus"
"Chen J.; Gandomkar Z.; Reed W.M.","Chen, Jacky (57211925321); Gandomkar, Ziba (57212539084); Reed, Warren M. (35192336200)","57211925321; 57212539084; 35192336200","Investigating the impact of cognitive biases in radiologists’ image interpretation: A scoping review","2023","European Journal of Radiology","0","10.1016/j.ejrad.2023.111013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166474509&doi=10.1016%2fj.ejrad.2023.111013&partnerID=40&md5=7fb4621e58057f28a721382d7e584e59","Rationale and objective: Image interpretation is a fundamental aspect of radiology. The treatment and management of patients relies on accurate and timely imaging diagnosis. However, errors in radiological reports can negatively impact on patient health outcomes. These misdiagnoses can be caused by several different errors, but cognitive biases account for 74 % of all image interpretation errors. There are many biases that can impact on a radiologist's perception and cognitive processes. Several recent narrative reviews have discussed these cognitive biases and have offered possible strategies to mitigate their effects. However, these strategies remain untested. Therefore, the purpose of this scoping review is to evaluate the current knowledge on the extent that cognitive biases impact on medical image interpretation. Material and methods: Scopus and Medline Databases were searched using relevant keywords to identify papers published between 2012 and 2022. A subsequent hand search of the narrative reviews was also performed. All studies collected were screened and assessed against the inclusion and exclusion criteria. Results: Twenty-four publications were included and categorised into five main themes: satisfaction of search, availability bias, hindsight bias, framing bias and other biases. From these studies, there were mixed results regarding the impact of cognitive biases, highlighting the need for further investigation in this area. Moreover, the limited and untested debiasing methods offered by a minority of the publications and narrative reviews also suggests the need for further research. The potential of role of artificial intelligence is also highlighted to further assist radiologists in identifying and mitigating these cognitive biases. Conclusion: Cognitive biases can impact radiologists’ image interpretation, however the effectiveness of debiasing strategies remain largely untested. © 2023 The Authors","Cognitive bias; Error; Heuristics; Interpretation; Radiology","Artificial Intelligence; Bias; Cognition; Diagnostic Imaging; Humans; Radiologists; artificial intelligence; availability bias; cognition; diagnostic error; framing bias; heuristics; hindsight bias; human; human experiment; Medline; narrative; perception; radiologist; radiology; review; satisfaction; Scopus; systematic review; artificial intelligence; cognition; diagnostic imaging; radiologist; statistical bias","Review","Scopus"
"Pons E.; Braun L.M.M.; Hunink M.G.M.; Kors J.A.","Pons, Ewoud (56533592200); Braun, Loes M. M. (56417285000); Hunink, M. G. Myriam (26642922600); Kors, Jan A. (7005293297)","56533592200; 56417285000; 26642922600; 7005293297","Natural language processing in radiology: A systematic review","2016","Radiology","330","10.1148/radiol.16142770","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965134347&doi=10.1148%2fradiol.16142770&partnerID=40&md5=802d10c1851c8bfa7b805cf15eea0f73","Radiological reporting has generated large quantities of digital content within the electronic health record, which is potentially a valuable source of information for improving clinical care and supporting research. Although radiology reports are stored for communication and documentation of diagnostic imaging, harnessing their potential requires efficient and automated information extraction: they exist mainly as free-text clinical narrative, from which it is a major challenge to obtain structured data. Natural language processing (NLP) provides techniques that aid the conversion of text into a structured representation, and thus enables computers to derive meaning from human (ie, natural language) input. Used on radiology reports, NLP techniques enable automatic identification and extraction of information. By exploring the various purposes for their use, this review examines how radiology benefits from NLP. A systematic literature search identified 67 relevant publications describing NLP methods that support practical applications in radiology. This review takes a close look at the individual studies in terms of tasks (ie, the extracted information), the NLP methodology and tools used, and their application purpose and performance results. Additionally, limitations, future challenges, and requirements for advancing NLP in radiology will be discussed. © 2015 RSNA.","","Electronic Health Records; Humans; Information Storage and Retrieval; Natural Language Processing; Radiology; Radiology Information Systems; automation; clinical decision support system; clinical practice; cohort analysis; data analysis; data extraction; electronic health record; human; medical research; medical service; natural language processing; outcome assessment; priority journal; quality control; radiology; Review; systematic review; information retrieval; radiology information system","Review","Scopus"
"Rocha R.A.; Huff S.M.; Haug P.J.; Evans D.A.; Bray B.E.","Rocha, R.A. (7102962124); Huff, S.M. (7005508146); Haug, P.J. (24480894300); Evans, D.A. (57214022918); Bray, B.E. (7007113135)","7102962124; 7005508146; 24480894300; 57214022918; 7007113135","Evaluation of a semantic data model for chest radiology: Application of a new methodology","1998","Methods of Information in Medicine","7","10.1055/s-0038-1634549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032445534&doi=10.1055%2fs-0038-1634549&partnerID=40&md5=368cc7aa8ba9e7d755732a44568b4177","An essential step toward the effective processing of the medical language is the development of representational models that formalize the language semantics. These models, also known as semantic data models, help to unlock the meaning of descriptive expressions, making them accessible to computer systems. The present study tries to determine the quality of a semantic data model created to encode chest radiology findings. The evaluation methodology relied on the ability of physicians to extract information from textual and encoded representations of chest X-ray reports, whilst answering questions associated with each report. The evaluation demonstrated that the encoded reports seemed to have the same information content of the original textual reports. The methodology generated useful data regarding the quality of the data model, demonstrating that certain segments were creating ambiguous representations and that some details were not being represented.","Data Model; Evaluation; Information Extraction; Text Encoding","computer system; data analysis; information retrieval; information system; medical information; priority journal; review; thorax radiography","Review","Scopus"
"Mello-Thoms C.; Mello C.A.B.","Mello-Thoms, Claudia (6701661177); Mello, Carlos A. B. (56265436600)","6701661177; 56265436600","AI IN IMAGING AND THERAPY: INNOVATIONS, ETHICS, AND IMPACT: REVIEW ARTICLE Clinical applications of artificial intelligence in radiology","2023","British Journal of Radiology","3","10.1259/bjr.20221031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159883377&doi=10.1259%2fbjr.20221031&partnerID=40&md5=e86320265c1fde13f0efa4135153bcc0","The rapid growth of medical imaging has placed increasing demands on radiologists. In this scenario, artificial intelligence (AI) has become an attractive partner, one that may complement case interpretation and may aid in various non-interpretive aspects of the work in the radiological clinic. In this review, we discuss interpretative and non-interpretative uses of AI in the clinical practice, as well as report on the barriers to AI’s adoption in the clinic. We show that AI currently has a modest to moderate penetration in the clinical practice, with many radiologists still being unconvinced of its value and the return on its investment. Moreover, we discuss the radiologists’ liabilities regarding the AI decisions, and explain how we currently do not have regulation to guide the implementation of explainable AI or of self-learning algorithms. © 2023, British Institute of Radiology. All rights reserved.","","artificial intelligence; clinical practice; ethics; human; investment; learning algorithm; radiologist; radiology; review","Review","Scopus"
"Sistrom C.L.","Sistrom, Chris L. (7004028261)","7004028261","Conceptual approach for the design of radiology reporting interfaces: The talking template","2005","Journal of Digital Imaging","17","10.1007/s10278-005-5167-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-24044525308&doi=10.1007%2fs10278-005-5167-8&partnerID=40&md5=cc8a251dbc37a2506ed1c47cdacb52e2","Within the coming decade, traditional dictation supported by human transcription for radiology reports will be replaced by one or more computerized methods. This paper discusses the cognitive and process efficiency problems arising from currently available technology including speech recognition and menu-driven interfaces. A specific concept for interaction with the reporting interface is proposed. This is called the ""talking template"" and departs from other designs by providing for all interactions to be mediated through audible prompts and microphone controls. The radiologist can recapture efficiency and cognitive focus by dictating while viewing images without the ""look away"" problem inherent in other interfaces. Copyright © 2005 by SCAR (Society for Computer Applications in Radiology).","Cognitive function; Process efficiency; Radiology reporting; Talking template; User interface","Cognition; Hospital Information Systems; Humans; Information Storage and Retrieval; Medical Records Systems, Computerized; Natural Language Processing; Radiology; Radiology Department, Hospital; Radiology Information Systems; Software Design; Speech; User-Computer Interface; Cognitive systems; Radiology; Report generators; Speech recognition; automation; cognition; medical technology; microphone; molecular recognition; priority journal; radiology; review; Cognitive function; Process efficiency; Radiology reporting; Talking template; User interfaces","Review","Scopus"
"Tippareddy C.; Jiang S.; Bera K.; Ramaiya N.","Tippareddy, Charit (57219188225); Jiang, Sirui (58613556000); Bera, Kaustav (57200984790); Ramaiya, Nikhil (8512115300)","57219188225; 58613556000; 57200984790; 8512115300","Radiology Reading Room for the Future: Harnessing the Power of Large Language Models Like ChatGPT","2023","Current Problems in Diagnostic Radiology","0","10.1067/j.cpradiol.2023.08.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172709809&doi=10.1067%2fj.cpradiol.2023.08.018&partnerID=40&md5=5b36cda742f0d641a36f481a7dbab602","Radiology has usually been the field of medicine that has been at the forefront of technological advances, often being the first to wholeheartedly embrace them. Whether it's from digitization to cloud side architecture, radiology has led the way for adopting the latest advances. With the advent of large language models (LLMs), especially with the unprecedented explosion of freely available ChatGPT, time is ripe for radiology and radiologists to find novel ways to use the technology to improve their workflow. Towards this, we believe these LLMs have a key role in the radiology reading room not only to expedite processes, simplify mundane and archaic tasks, but also to increase the radiologist's and radiologist trainee's knowledge base at a far faster pace. In this article, we discuss some of the ways we believe ChatGPT, and the likes can be harnessed in the reading room. © 2023 Elsevier Inc.","","ChatGPT; digitization; explosion; human; human experiment; knowledge base; radiologist; radiology; reading; review; workflow","Review","Scopus"
"Al-Dasuqi K.; Johnson M.H.; Cavallo J.J.","Al-Dasuqi, Khalid (57194380298); Johnson, Michele H. (32767456700); Cavallo, Joseph J. (57195150343)","57194380298; 32767456700; 57195150343","Use of artificial intelligence in emergency radiology: An overview of current applications, challenges, and opportunities","2022","Clinical Imaging","8","10.1016/j.clinimag.2022.05.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132337676&doi=10.1016%2fj.clinimag.2022.05.010&partnerID=40&md5=3706ef0cec16c82deb5868f2260e5349","The value of artificial intelligence (AI) in healthcare has become evident, especially in the field of medical imaging. The accelerated pace and acuity of care in the Emergency Department (ED) has made it a popular target for artificial intelligence-driven solutions. Software that helps better detect, report, and appropriately guide management can ensure high quality patient care while enabling emergency radiologists to better meet the demands of quick turnaround times. Beyond diagnostic applications, AI-based algorithms also have the potential to optimize other important steps within the ED imaging workflow. This review will highlight the different types of AI-based applications currently available for use in the ED, as well as the challenges and opportunities associated with their implementation. © 2021","Artificial intelligence; Emergency radiology; Machine learning; Radiology applications","Algorithms; Artificial Intelligence; Humans; Radiologists; Radiology; Workflow; Diagnosis; Machine learning; Medical imaging; Radiation; 'current; Diagnostic applications; Emergency departments; Emergency radiology; High quality; Machine-learning; Patient care; Quick-turn-around time; Radiology application; Work-flows; artificial intelligence; blood vessel occlusion; brain hemorrhage; cerebrovascular accident; emergency ward; health care system; human; imaging; lung embolism; machine learning; radiography; radiology; Review; spine injury; turnaround time; workflow; algorithm; procedures; radiologist; Radiology","Review","Scopus"
"Krupinski E.A.","Krupinski, Elizabeth A. (26643320200)","26643320200","Deep learning of radiology reports for pulmonary embolus: Is a computer reading my report?","2018","Radiology","2","10.1148/radiol.2017172728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042462888&doi=10.1148%2fradiol.2017172728&partnerID=40&md5=22119784cc37eca5191ed51105921466","[No abstract available]","","Humans; Machine Learning; Pulmonary Embolism; Radiography; Radiology; Reading; artificial intelligence; computer assisted tomography; convolutional neural network; deep learning; F score; information processing; lung embolism; machine learning; measurement accuracy; natural language processing; PeFinder; priority journal; radiology; receiver operating characteristic; Review; human; radiography; radiology; reading","Review","Scopus"
"Durack J.C.","Durack, Jeremy C. (6506212772)","6506212772","The Value Proposition of Structured Reporting in Interventional Radiology","2014","American Journal of Roentgenology","25","10.2214/AJR.14.13112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910123019&doi=10.2214%2fAJR.14.13112&partnerID=40&md5=3535476ceb71502b2ea81356c1a386d6","OBJECTIVE. The purposes of this article are to provide a brief overview of structured radiology reporting and to emphasize the anticipated benefits from a new generation of standardized interventional radiology procedure reports. CONCLUSION. Radiology reporting standards and tools have evolved to enable automated data integration from multiple institutions using structured templates. In interventional radiology, data aggregated into clinical, research and quality registries from enriched structured reports could firmly establish the interventional radiology value proposition. © American Roentgen Ray Society.","Interventional radiology; Quality improvement; Registries; Structured reporting","Documentation; Health Records, Personal; Information Dissemination; Information Storage and Retrieval; Medical Records Systems, Computerized; Practice Guidelines as Topic; Quality Assurance, Health Care; Radiology Information Systems; Radiology, Interventional; United States; interventional radiology; quality improvement; registries; structured reporting; clinical practice; clinical research; common data elements; communication protocol; computer aided design; computer language; computer system; disease registry; electronic data interchange; electronic medical record; health care cost; health care policy; health care quality; history of medicine; human; human computer interaction; information system; interventional radiologist; interventional radiology; medical informatics; medical specialist; medicolegal aspect; minimally invasive procedure; patient care; patient coding; physician attitude; practice guideline; priority journal; protocol compliance; reimbursement; Review; standardization; structured radiology reporting; documentation; electronic medical record; health care quality; hospital information system; information dissemination; information retrieval; medical record; methodology; register; review; standard; structured reporting; total quality management; United States","Review","Scopus"
"Luo J.W.; Chong J.J.R.","Luo, Jack W. (57219317690); Chong, Jaron J.R. (36087155700)","57219317690; 36087155700","Review of Natural Language Processing in Radiology","2020","Neuroimaging Clinics of North America","24","10.1016/j.nic.2020.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092177150&doi=10.1016%2fj.nic.2020.08.001&partnerID=40&md5=3dcd39201fa341407f006945eaaa49c5","Natural language processing (NLP) is an interdisciplinary field, combining linguistics, computer science, and artificial intelligence to enable machines to read and understand human language for meaningful purposes. Recent advancements in deep learning have begun to offer significant improvements in NLP task performance. These techniques have the potential to create new automated tools that could improve clinical workflows and unlock unstructured textual information contained in radiology and clinical reports for the development of radiology and clinical artificial intelligence applications. These applications will combine the appropriate application of classic linguistic and NLP preprocessing techniques, modern NLP techniques, and modern deep learning techniques. © 2020 Elsevier Inc.","Artificial intelligence; Deep learning; Machine learning; Natural language processing; Radiology","Humans; Image Interpretation, Computer-Assisted; Natural Language Processing; Neuroimaging; Radiology; algorithm; artificial intelligence; bag of words; Bayesian learning; computer assisted tomography; convolutional neural network; deep learning; diagnostic value; follow up; lemmatization; linguistics; long term memory; machine learning; n grams; natural language processing; negation detection; nuclear magnetic resonance imaging; parts of speech tagging; priority journal; random forest; recurrent neural network; Review; semi supervised machine learning; short term memory; stemming; stop word; support vector machine; task performance; term frequency inverse document frequency; tokenization; transfer of learning; word embedding; word processing; computer assisted diagnosis; human; neuroimaging; procedures; radiology","Review","Scopus"
"Rajamohan A.G.; Patel V.; Sheikh-Bahaei N.; Liu C.-S.J.; Go J.L.; Kim P.E.; Gibbs W.; Acharya J.","Rajamohan, Anandh G. (55615455700); Patel, Vishal (57203596963); Sheikh-Bahaei, Nasim (56579316400); Liu, Chia-Shang J. (57125049500); Go, John L. (57210588957); Kim, Paul E. (7402334623); Gibbs, Wende (8846438700); Acharya, Jay (55221733300)","55615455700; 57203596963; 56579316400; 57125049500; 57210588957; 7402334623; 8846438700; 55221733300","Common Data Elements in Head and Neck Radiology Reporting","2020","Neuroimaging Clinics of North America","3","10.1016/j.nic.2020.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086381425&doi=10.1016%2fj.nic.2020.05.002&partnerID=40&md5=aa87d5256e93050069161fd7a5f608a1","Radiologists must convert the complex information in head and neck imaging into text reports that can be understood and used by clinicians, patients, and fellow radiologists for patient care, research, and quality initiatives. Common data elements in reporting, through use of defined questions with constrained answers and terminology, allow radiologists to incorporate best practice standards and improve communication of information regardless of individual reporting style. Use of common data elements for head and neck reporting has the potential to improve outcomes, reduce errors, and transition data consumption not only for humans but future machine learning systems. © 2020 Elsevier Inc.","Artificial intelligence; Common data elements (CDEs); Informatics; Quality improvement; Standardization; Structured reporting; Value in radiology","Common Data Elements; Head and Neck Neoplasms; Humans; Magnetic Resonance Imaging; Radiology Information Systems; Tomography, X-Ray Computed; adult; artificial intelligence; common data elements; human; information science; machine learning; neck; nomenclature; patient care; radiologist; radiology; review; standardization; total quality management; diagnostic imaging; head and neck tumor; nuclear magnetic resonance imaging; procedures; radiology information system; x-ray computed tomography","Review","Scopus"
"Canadè A.; Palladino F.; Pitzalis G.; Campioni P.; Marano P.","Canadè, Adolfo (6603046448); Palladino, Francesco (6701454044); Pitzalis, Gianluca (57210048174); Campioni, Paolo (7004098098); Marano, Pasquale (7103295721)","6603046448; 6701454044; 57210048174; 7004098098; 7103295721","Web-based radiology: a future to be created.","2003","Rays","7","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0242367496&partnerID=40&md5=8a5c350efd2430c01b9c36f0b91e96c5","The impact of Internet on Medicine and Surgery is certainly remarkable, however the influence it had on Diagnostic Imaging was even stronger. The standardization of digital images acquired by the different medical imaging equipment has further facilitated the diffusion, transmission and communication in radiology within hospitals as well as on WEB. Radiology departments are bound to become ""filmless"" and with the present ""tablet PC"" radiological images will be directly transferred to the patient's bed in the relative electronic patient report. For radiology, interactive education could be envisaged with a tutor who guides the student(s) through the network. The Internet is an inexhaustible source of radiologic educational and information material with a number of sites of clinical cases, tutorial and teaching files, journals and magisterial lectures on-line. In a near future, the Internet could be applied in the simulation of clinicoradiologic cases or in applications of artificial intelligence with expert systems to support the solution of most complex cases.","","Analog-Digital Conversion; Diagnostic Imaging; Forecasting; Humans; Internet; Italy; Radiology; Teaching Materials; Technology, Radiologic; Teleradiology; analog digital converter; diagnostic imaging; education; forecasting; human; instrumentation; Internet; Italy; radiology; review; teaching; teleradiology","Review","Scopus"
"Langer S.G.","Langer, Steve G. (7202164685)","7202164685","Impact of speech recognition on radiologist productivity","2002","Journal of Digital Imaging","35","10.1007/s10278-002-0014-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038515077&doi=10.1007%2fs10278-002-0014-7&partnerID=40&md5=ae72e3ba7ebc9e1c4cbe5c7d9454cb90","A survey was conducted of radiology practices with productivity data from at least 3 of the following 4 workflows: film with manual transcription, filmless with manual transcription, film with speech recognition, and filmless with speech recognition. Two surveys were submitted to candidate sites. The first was used to ascertain suitable available data for follow-up. The second survey requested data for report turn around times, full-time equivalent (FTE) staffing levels, and report volume. Data were collected and stored in a Microsoft Access database and statistical analysis performed in Excel. Whereas several metrics were used, the normalized figure of reports-per-day/FTE was found to have improved an average of 1.9 (for filmless with speech recognition) and 2.3 (for film with speech recognition) over the film with manual transcription case. Filmless with manual transcription was only 1.4 times the value of the all manual case. At the 10% confidence level, both filmless with manual transcription and film with speech recognition workflows were found to have statistically significant enhanced productivity. Insufficient data exist to show if the fully automated workflow (filmless with speech recognition) offers benefits over 2 previous semiautomated workflows.","Picture archiving and communication system; Productivity; Radiology; Speech recognition","Data Collection; Efficiency; Humans; Medical Records Systems, Computerized; Radiology Department, Hospital; Radiology Information Systems; Speech; United States; User-Computer Interface; Database systems; Patient treatment; Speech recognition; Statistical methods; article; computer interface; hospital information system; human; information processing; medical record; organization and management; productivity; radiology department; speech; United States; Automated workflow; Radiology","Review","Scopus"
"Li A.Y.; Elliot N.","Li, Andrew Yu (57205704671); Elliot, Nikki (57190758936)","57205704671; 57190758936","Natural language processing to identify ureteric stones in radiology reports","2019","Journal of Medical Imaging and Radiation Oncology","15","10.1111/1754-9485.12861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061213866&doi=10.1111%2f1754-9485.12861&partnerID=40&md5=7f8752da717bb5d951fbfd26061c895a","Introduction: Natural language processing (NLP) is an emerging tool which has the ability to automate data extraction from large volumes of unstructured text. One of the main described uses of NLP in radiology is cohort building for epidemiological studies. This study aims to assess the accuracy of NLP in identifying a group of patients positive for ureteric stones on Computed Tomography – Kidneys, Ureter, Bladder (CT KUB) reports. Methods: Retrospective review of all CT KUB reports in a single calendar year. A locally available NLP tool was used to automatically classify the reports based on positivity for ureteric stones. This was validated by manual review and refined to maximize the accuracy of stone detection. Results: A total of 1874 CT KUB reports were identified. Manual classification of ureteric stone positivity was 36% compared with 27% using NLP. The accuracy of NLP was 85% with a sensitivity of 66% and specificity of 95%. Incorrect classification was due to misspellings, variable syntax, terminology, pluralization and the inability to exclude clinical request details from the search algorithm. Conclusions: Our NLP tool demonstrated high specificity but low sensitivity at identifying CT KUB reports that are positive for ureteric stones. This was attributable to the lack of feature extraction tools tailored for analysing radiology text, incompleteness of the medical lexicon database and heterogeneity of unstructured reports. Improvements in these areas will help improve data extraction accuracy. © 2019 The Royal Australian and New Zealand College of Radiologists","information science; natural language processing; renal colic; ureteral calculi; urinary tract imaging","Big Data; Cross-Sectional Studies; Humans; Natural Language Processing; Radiography, Abdominal; Retrospective Studies; Sensitivity and Specificity; Tomography, X-Ray Computed; Ureteral Calculi; algorithm; automation; computer assisted tomography; cross-sectional study; diagnostic accuracy; disease classification; human; kidney colic; major clinical study; natural language processing; practice guideline; priority journal; retrospective study; Review; sensitivity and specificity; total quality management; ureter stone; validation process; abdominal radiography; diagnostic imaging; ureter stone; x-ray computed tomography","Review","Scopus"
"Bobba P.S.; Sailer A.; Pruneski J.A.; Beck S.; Mozayan A.; Mozayan S.; Arango J.; Cohan A.; Chheang S.","Bobba, Pratheek S. (57657447400); Sailer, Anne (57211033405); Pruneski, James A. (57438238000); Beck, Spencer (57221958895); Mozayan, Ali (57247510100); Mozayan, Sara (58136347800); Arango, Jennifer (57035684800); Cohan, Arman (56027897100); Chheang, Sophie (24334158000)","57657447400; 57211033405; 57438238000; 57221958895; 57247510100; 58136347800; 57035684800; 56027897100; 24334158000","Natural language processing in radiology: Clinical applications and future directions","2023","Clinical Imaging","2","10.1016/j.clinimag.2023.02.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149767194&doi=10.1016%2fj.clinimag.2023.02.014&partnerID=40&md5=b8d86d0b5b7daeb7dd122b8a1922666f","Natural language processing (NLP) is a wide range of techniques that allows computers to interact with human text. Applications of NLP in everyday life include language translation aids, chat bots, and text prediction. It has been increasingly utilized in the medical field with increased reliance on electronic health records. As findings in radiology are primarily communicated via text, the field is particularly suited to benefit from NLP based applications. Furthermore, rapidly increasing imaging volume will continue to increase burden on clinicians, emphasizing the need for improvements in workflow. In this article, we highlight the numerous non-clinical, provider focused, and patient focused applications of NLP in radiology. We also comment on challenges associated with development and incorporation of NLP based applications in radiology as well as potential future directions. © 2023","Artificial intelligence; Education; Natural language processing","Electronic Health Records; Humans; Natural Language Processing; Radiography; Radiology; Natural language processing systems; Chat bots; Clinical application; Electronic health; Health records; Language processing; Language translation; Medical fields; Natural language processing; Natural languages; Text prediction; artificial intelligence; billing and claims; education; follow up; health care quality; human; natural language processing; patient safety; radiology; Review; workflow; electronic health record; radiography; Radiology","Review","Scopus"
"Vincoff N.S.; Barish M.A.; Grimaldi G.","Vincoff, Nina S. (6503860270); Barish, Matthew A. (7005874418); Grimaldi, Gregory (23667533600)","6503860270; 7005874418; 23667533600","The patient-friendly radiology report: history, evolution, challenges and opportunities","2022","Clinical Imaging","1","10.1016/j.clinimag.2022.06.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133407493&doi=10.1016%2fj.clinimag.2022.06.018&partnerID=40&md5=a97118bfd6e859df6440100242d8c9c5","The past several decades have witnessed dramatic developments and improvements in the field of radiology, including technologic innovations and new imaging modalities, picture archiving and communication systems, and the rise of artificial intelligence. At the same time, an evolution has been occurring in a fundamental component of radiology practice – the radiologist's report. Initially, the radiology report was a private written communication between the radiologist and the referring physician 1,2. Today, the report is an electronic document, displayed on web portals, and visible to both physicians and the patients themselves.3 A provision in the 21st Century Cures Act, signed into law on December 13, 2016, ensures that radiology reports in the electronic health record are visible to patients without delay 4. To meet modern patient expectations and legal requirements, the structure and purpose of the radiologist report is changing. This article will provide an overview of the history of radiology reporting and the law, discuss the role of the radiologist report within the context of patient and family centered care, review current strategies and investigations in patient-friendly reporting, and summarize radiology reporting challenges and opportunities for the future. © 2022 Elsevier Inc.","21st Century Cures Act; Patient and family centered care; Patient experience; Patient-friendly radiology report","Artificial Intelligence; Humans; Radiography; Radiology; Radiology Information Systems; Curing; Portals; Radiation; 21st century cure act; Fundamental component; Imaging modality; Patient and family centered care; Patient experiences; Patient-friendly radiology report; Picture archiving and communications systems; Radiology reporting; Radiology reports; Written communications; artificial intelligence; clinical practice; electronic health record; family centered care; human; radiologist; radiology; Review; radiography; radiology information system; Radiology","Review","Scopus"
"Boos J.; Meineke A.; Bethge O.T.; Antoch G.; Kröpil P.","Boos, J. (56078925600); Meineke, A. (56449050000); Bethge, O.T. (56032619800); Antoch, G. (7003748937); Kröpil, P. (23488953400)","56078925600; 56449050000; 56032619800; 7003748937; 23488953400","Dose Monitoring in Radiology Departments: Status Quo and Future Perspectives","2016","RoFo Fortschritte auf dem Gebiet der Rontgenstrahlen und der Bildgebenden Verfahren","27","10.1055/s-0041-109514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964661561&doi=10.1055%2fs-0041-109514&partnerID=40&md5=dc0eff19e8f59b44ab6ed3d9f457c2e4","The number of computed tomography examinations has continuously increased over the last decades and accounts for a major part of the collective radiation dose from medical investigations. For purposes of quality assurance in modern radiology a systematic monitoring and analysis of dose related data from radiological examinations is mandatory. Various ways of collecting dose data are available today, for example the Digital Imaging and Communication in Medicine - Structured Report (DICOM-SR), optical character recognition and DICOM-modality performed procedure steps (MPPS). The DICOM-SR is part of the DICOM-standard and provides the DICOM-Radiation Dose Structured Report, which is an easily applicable and comprehensive solution to collect radiation dose parameters. This standard simplifies the process of data collection and enables comprehensive dose monitoring. Various commercial dose monitoring software devices with varying characteristics are available today. In this article, we discuss legal obligations, various ways to monitor dose data, current dose monitoring software solutions and future perspectives in regard to the EU Council Directive 2013/59/EURATOM. Key Points: • Automated, systematic dose monitoring is an important element in quality assurance of radiology departments. • DICOM-RDSR-capable CT scanners facilitate the monitoring of dose data. • A variety of commercial and non-commercial dose monitoring software tools are available today. • Successful dose monitoring requires comprehensive infrastructure for monitoring, analysing and optimizing radiation exposure. Citation Format: • Boos J, Meineke A, Bethge OT etal. Dose Monitoring in Radiology Departments: Status Quo and Future Perspectives. Fortschr Röntgenstr 2016; 188: 443-450. © Georg Thieme Verlag KG Stuttgart New York.","computed tomography; DICOM; dose monitoring; radiation dose; structured report","Automatic Data Processing; Data Collection; Forecasting; Humans; Quality Assurance, Health Care; Radiation Monitoring; Radiology Department, Hospital; Radiology Information Systems; Software; Tomography, X-Ray Computed; Utilization Review; Young Adult; forecasting; health care quality; human; information processing; procedures; radiation monitoring; radiology department; radiology information system; software; trends; utilization; utilization review; x-ray computed tomography; young adult","Review","Scopus"
